id,name,age,income,outcome,savings,employment_status,city,children,credit_score,spending_score
49,Allison Hill,38,5155.48,2573.36,525845.42,unemployed,Wrocław,3,839.49,60.63
50,Shane Henderson,27,4317.76,2943.21,23099.85,unemployed,Gdynia,4,323.08,9.95
51,Crystal Robinson,62,2212.48,1938.66,2400.71,retired,Warszawa,1,318.43,25.27
52,Cristian Santos,42,4291.89,2025.16,1536.86,retired,Warszawa,3,789.46,2.41
53,Jessica Smith,66,5814.3,1663.53,5395.31,student,Bydgoszcz,2,727.82,93.17
54,Philip Cannon,33,3639.95,1394.89,789.16,unemployed,Białystok,2,608.15,78.6
55,Victoria Garcia,49,5238.75,2921.32,30172.84,employed,Gdynia,0,395.36,40.78
56,Sherry Decker,83,2956.15,1154.29,5791.57,retired,Katowice,4,775.89,19.45
57,Christopher Bass,18,4503.75,2460.65,20655.52,employed,Bydgoszcz,2,538.43,75.97
58,Anna Henderson,78,6389.22,1127.71,15907.39,student,Katowice,1,290.32,108.96
59,Angelica Tucker,79,5367.44,2533.45,12312.31,unemployed,Kraków,6,425.11,22.85
60,Donald Wright,25,2055.6,1241.2,551769.12,retired,Katowice,3,338.48,81.64
61,Joshua Blair,97,4155.18,3333.38,24316.33,unemployed,Warszawa,4,558.46,3.57
62,Lisa Barnes,31,3723.31,1276.33,15219.9,retired,Warszawa,0,668.41,28.4
63,Steve Sanchez,81,4609.05,1397.12,276398.41,retired,Białystok,5,987.93,88.08
64,Rebecca Henderson,71,5409.82,2969.66,10334.43,unemployed,Lublin,1,458.43,75.87
65,Justin Baker,35,4063.89,2079.62,9294.3,student,Bydgoszcz,1,609.81,22.45
66,Richard Aguirre,28,4414.58,3208.76,17876.44,retired,Częstochowa,3,740.03,43.96
67,Eric Carney,35,8157.53,2402.51,382530.1,student,Warszawa,0,634.67,28.78
68,Connie Lawrence,69,4015.67,2025.81,8040.2,retired,Częstochowa,4,454.1,28.28
69,Holly Wood,37,2010.51,881.14,13190.11,unemployed,Warszawa,6,832.58,32.41
70,Patty Perez,45,4445.11,1527.43,19347.96,employed,Białystok,1,457.46,2.42
71,Paul Jones,78,1994.71,508.07,16692.34,employed,Warszawa,6,702.87,9.87
72,Gerald Hensley,25,4893.95,1565.19,10582.5,employed,Warszawa,0,826.22,40.17
73,Whitney Peters,42,5158.26,3065.7,3057.1,employed,Szczecin,5,415.11,86.22
74,Gina Moore,83,3888.76,2959.92,314859.72,unemployed,Warszawa,3,632.65,50.05
75,Sherri Baker,48,3967.12,1957.6,102552.81,student,Lublin,1,305.27,26.83
76,Cassandra Gaines,35,1927.52,369.42,18777.28,retired,Bydgoszcz,3,587.59,22.46
77,Aimee Montoya,21,3377.54,1279.06,22230.36,employed,Warszawa,6,429.63,76.65
78,Ethan Adams,26,4107.65,838.16,25596.14,employed,Warszawa,3,567.25,29.09
79,John Whitehead,64,5593.12,2205.38,7932.25,retired,Warszawa,3,531.03,33.47
80,Ryan Munoz,26,3058.71,2017.06,42814.31,student,Warszawa,0,709.26,16.26
81,Jessica Holmes,59,3613.03,3832.09,22279.55,unemployed,Białystok,2,401.75,28.76
82,Brittany Farmer,58,2769.95,841.26,20648.6,student,Poznań,2,318.46,11.71
83,Shannon Jones,22,4386.81,2771.3,15866.15,employed,Białystok,0,447.63,26.32
84,Abigail Shaffer,34,9177.95,1367.79,3581.63,student,Szczecin,4,673.88,35.39
85,Nathan Maldonado,47,8894.52,2360.88,19793.65,unemployed,Katowice,2,311.43,75.87
86,Matthew Foster,52,3861.47,624.01,10593.12,unemployed,Warszawa,6,378.02,76.7
87,Paula Moreno,30,4077.7,2782.09,5049.55,employed,Lublin,4,603.01,102.22
88,Dylan Miller,43,5463.48,2607.93,7847.31,student,Warszawa,2,566.75,39.79
89,Connor West,38,4260.85,1625.67,21220.07,unemployed,Warszawa,6,374.08,70.66
90,Judy Baker,90,2812.98,2049.13,9746.78,student,Warszawa,5,295.54,41.1
91,Lisa Hensley,31,3454.15,1023.2,3233.06,unemployed,Poznań,3,394.02,63.69
92,Brittney Phillips,24,3211.51,2210.23,9728.47,student,Lublin,6,792.05,90.1
93,Denise Jacobs,19,6549.4,1163.05,558909.03,student,Warszawa,4,422.27,63.21
94,James Ferrell,33,5317.43,3097.49,18387.15,unemployed,Kraków,6,847.77,81.41
95,Zachary Hicks,41,3156.48,653.25,11968.17,unemployed,Warszawa,1,574.53,72.29
96,John Daniel,24,3112.15,2411.44,12170.7,retired,Łódź,1,464.28,57.41
97,Stephen Mckee,45,2300.29,400.61,16100.77,student,Warszawa,4,873.57,124.89
98,Tracy House,51,3453.64,1572.36,10318.63,unemployed,Kraków,3,597.87,28.54
99,Michele Williams,16,4393.4,1607.19,198941.17,retired,Poznań,5,700.5,53.1
100,Lisa Archer,66,7045.07,2431.76,438826.29,employed,Łódź,2,487.56,55.59
